Crop,Precipitation (mm day),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
Soybean,141.38,16.51,72.6,19.88,2.31
Maize,107.27,15.75,58.53,25.26,4.293
Sugarcane,141.0,17.5,69.29,27.39,64.18
Soybean,173.68,13.34,64.46,28.94,2.278
Cotton,102.68,16.31,43.91,28.8,1.683
Soybean,104.71,12.93,61.64,29.32,2.719
Sugarcane,203.59,16.54,72.87,24.05,67.84
Sugarcane,123.79,16.26,76.81,31.39,56.707
Maize,101.65,15.46,59.22,27.15,4.665
Wheat,60.4,7.25,40.95,22.72,2.606
Maize,76.95,11.02,48.17,19.48,3.955
Barley,69.44,6.74,45.72,9.65,2.503
Wheat,58.72,6.09,59.13,13.51,3.193
Wheat,44.69,11.85,55.42,21.94,2.835
Barley,87.38,6.68,34.79,15.06,2.803
Maize,146.28,11.09,55.76,19.99,4.508
Wheat,56.91,8.13,37.63,13.11,2.288
Wheat,42.82,9.53,44.94,23.63,2.256
Barley,91.35,8.76,46.73,9.77,2.62
Sugarcane,151.02,18.12,76.86,24.66,41.314
Maize,100.77,12.6,66.21,22.36,5.959
Cotton,482.82443428146973,15.14,45.76,32.53,1.395
Maize,128.12,13.06,48.0,21.74,5.698
Soybean,114.22,15.76,72.64,29.7,1.819
Maize,130.9,12.18,68.45,21.31,4.327
Cotton,172.78,15.77,45.05,23.67,1.676
Wheat,107.57,6.3,57.26,18.08,2.423
Sugarcane,141.73,18.79,74.08,22.07,47.975
Wheat,69.83,10.99,55.14,13.14,2.218
Rice,217.08,18.53,75.28,30.89,4.291
Rice,258.97,20.93,68.31,30.34,5.81
Wheat,69.85,9.29,39.37,14.14,3.153
Soybean,195.17,16.11,71.59,22.88,2.789
Maize,131.48,15.6,59.39,19.51,4.398
Maize,101.81,11.89,57.28,21.85,3.417
Cotton,94.38,15.54,35.92,22.45,1.694
Sugarcane,179.42,14.39,80.63,23.51,80.497
Soybean,88.7,15.22,60.06,29.04,2.352
Maize,110.17,14.36,62.32,29.85,3.729
Maize,77.87,12.26,55.34,18.48,2.718
Sugarcane,201.28,19.67,64.89,29.7,74.574
Cotton,83.96,15.09,52.77,22.56,1.45
Soybean,191.4,11.39,63.74,25.09,2.858
Sugarcane,209.08,14.54,83.98,30.59,80.545
Rice,211.22,16.53,88.42,26.65,3.665
Barley,69.28,5.85,30.02,19.34,1.742
Sugarcane,258.14,15.81,76.26,25.95,51.851
Wheat,58.17,8.62,49.84,11.02,2.653
Soybean,181.1,14.01,74.54,19.17,1.714
Soybean,80.46,12.43,73.46,20.05,1.514
Maize,107.74,14.21,55.27,24.06,3.575
Sugarcane,248.89,16.55,66.89,25.18,50.984
Rice,226.26,20.33,87.15,27.12,4.619
Barley,81.84,8.0,52.35,20.88,1.449
Rice,154.45,16.15,85.79,23.28,3.176
Cotton,126.5,15.91,59.89,24.48,1.089
Barley,95.61,10.68,39.23,9.9,1.797
Wheat,52.97,7.67,40.47,12.56,3.039
Cotton,63.04,17.78,60.08,30.35,1.286
Barley,45.84,5.28,49.49,11.54,2.641
Maize,89.26,11.7,55.01,27.74,2.918
Maize,109.11,15.22,49.52,29.37,3.364
Barley,89.27,10.06,37.58,14.01,6.159294055829083
Barley,39.32,10.94,30.98,17.17,1.726
Wheat,53.67,8.07,43.39,23.7,3.039
Soybean,145.29,14.31,58.91,23.37,3.955
Wheat,43.15,10.4,43.53,16.7,3.359
Rice,236.77,19.76,88.16,20.23,4.129
Wheat,51.3,6.5,35.48,12.32,10.675127733357016
Rice,155.71,16.38,87.66,21.67,2.883
Cotton,73.21,13.37,47.81,31.82,1.894
Maize,84.64,14.41,50.22,18.7,4.194
Cotton,104.13,13.59,42.32,33.68,1.388
Soybean,83.19,15.41,65.64,24.97,2.533
Maize,139.22,12.55,59.14,18.25,2.503
Sugarcane,138.55,14.36,68.14,23.72,57.706
Rice,270.2,16.3,66.82,24.83,3.534
Soybean,132.53,12.86,69.05,29.23,3.344
Wheat,53.14,6.53,52.47,15.16,2.586
Maize,103.73,13.73,62.97,19.33,2.901
Soybean,187.83,16.38,67.14,28.31,1.487
Rice,193.62,21.78,77.09,29.67,3.669
Barley,85.6,5.79,45.02,8.48,5.655637212347973
Maize,153.35,10.97,69.15,20.47,4.9
Wheat,81.13,10.21,52.0,15.71,1.91
Cotton,139.64,17.62,56.98,24.58,1.062
Soybean,178.14,16.87,62.55,23.46,2.945
Maize,97.29,15.8,68.62,22.02,4.886
Wheat,64.21,10.03,55.14,23.25,2.182
Maize,121.93,12.07,65.08,24.48,3.714
Wheat,109.26,11.34,44.29,12.73,2.148
Sugarcane,221.71,18.21,78.02,30.74,46.238
Cotton,79.35,17.58,59.24,29.6,2.003
Cotton,170.7,16.24,39.58,28.92,1.707
Sugarcane,117.95,16.18,72.53,22.52,47.782
Soybean,177.91,13.27,52.21,22.11,3.185
Soybean,144.76,11.46,50.45,19.23,2.421
Sugarcane,223.07,14.12,78.39,27.84,81.436
Cotton,176.82,17.81,57.49,23.56,1.565
Barley,52.21,10.6,48.0,18.55,1.718
Soybean,90.85,16.69,56.46,22.05,2.158
Sugarcane,193.14,19.55,73.73,29.0,63.628
Barley,56.67,7.69,44.27,14.1,2.29
Wheat,52.08,9.41,42.41,23.14,2.756
Cotton,162.14,14.97,49.42,29.11,2.166
Rice,184.69,19.33,83.33,27.39,2.994
Wheat,87.1,6.49,58.79,21.74,2.916
Sugarcane,255.56,16.79,78.61,29.43,75.972
Barley,63.65,8.51,50.41,21.84,1.85
Barley,98.87,8.82,34.04,20.68,1.886
Wheat,54.44,8.35,57.39,12.86,2.346
Soybean,88.73,15.74,55.44,26.12,2.376
Wheat,60.3,11.23,51.82,21.15,2.221
Cotton,158.29,16.8,55.84,25.27,1.605
Barley,78.47,8.26,50.82,9.75,1.654
Cotton,168.91,13.5,47.31,31.07,1.1
Soybean,191.59,14.27,66.54,28.84,1.568
Sugarcane,252.05,16.51,71.02,29.61,71.287
Wheat,92.97,8.65,52.68,15.45,2.239
Wheat,50.03,10.29,42.33,17.36,3.043
Barley,49.37,6.61,50.08,8.62,2.845
Soybean,179.62,14.98,58.46,29.23,2.533
Sugarcane,102.75,15.32,67.05,27.32,47.149
Soybean,97.93,14.89,54.31,28.47,2.626
Sugarcane,230.07,15.23,68.45,27.64,58.358
Rice,224.39,17.53,86.02,20.46,4.693
Maize,145.52,13.3,48.83,26.74,4.098
Rice,308.76,17.9,77.68,20.5,2.131
Cotton,70.83,17.01,44.62,24.24,0.983
Rice,264.6,17.56,73.63,31.01,3.444
Sugarcane,167.67,17.21,81.91,32.95,47.421
Rice,225.44,21.21,69.43,28.31,5.233
Cotton,146.69,13.68,35.73,29.75,1.221
Maize,105.38,10.84,45.27,24.53,6.581
Soybean,186.59,13.76,65.17,20.26,2.479
Wheat,88.62,10.37,56.54,13.84,3.306
Barley,86.86,10.53,54.46,8.15,2.121
Sugarcane,244.78,19.4,75.59,22.07,38.845
Maize,123.61,10.48,68.49,27.06,4.755
Sugarcane,138.57,17.51,71.07,22.41,43.232
Wheat,58.77,8.17,45.21,19.52,1.731
Sugarcane,105.91,16.81,76.17,31.96,40.579
Barley,45.71,9.13,42.86,10.8,1.687
Barley,78.55,5.0,50.15,9.11,1.627
Barley,76.07,6.54,53.72,10.38,3.034
Sugarcane,189.25,18.39,62.19,30.02,83.322
Maize,105.43,12.84,66.36,22.08,6.32
Cotton,143.07,17.1,42.49,27.87,1.452
Soybean,157.42,11.1,74.01,18.54,1.802
Barley,43.72,8.87,38.49,17.91,2.273
Maize,71.44,15.78,54.42,25.24,2.794
Barley,39.28,6.15,40.19,21.12,1.419
Maize,152.36,10.94,63.79,24.82,3.962
Soybean,116.19,12.13,57.59,19.12,1.804
Cotton,79.95,16.43,37.48,29.24,1.135
Sugarcane,179.03,14.27,83.0,27.64,55.051
Wheat,82.74,6.96,51.84,12.51,3.378
Barley,72.17,10.44,33.06,15.48,3.253
Barley,89.09,7.96,32.96,8.19,1.707
Barley,98.29,8.98,40.21,11.93,2.14
Cotton,75.31,13.7,45.89,29.75,1.78
Wheat,52.14,8.28,55.04,15.49,3.183
Sugarcane,175.31,18.28,81.53,23.86,68.433
Barley,50.71,7.9,52.17,13.3,2.691
Cotton,150.94,12.09,38.48,22.55,0.811
Cotton,169.73,14.51,46.49,28.23,1.032
Rice,174.28,20.52,84.22,27.9,4.724
Sugarcane,175.46,15.16,67.12,28.06,76.437
Cotton,164.52,16.28,59.05,26.07,1.97
Sugarcane,227.76,19.7,66.12,30.95,65.505
Barley,78.34,6.71,44.64,16.21,2.3
Sugarcane,156.9,16.55,67.73,25.37,80.144
Cotton,131.75,17.53,37.65,24.35,0.986
Soybean,135.29,12.72,56.19,25.74,3.135
Sugarcane,199.75,17.35,77.68,24.13,56.659
Soybean,156.72,13.03,72.67,25.05,2.182
Wheat,95.13,7.51,49.1,15.02,2.81
Rice,318.51,16.77,67.6,28.69,3.788
Soybean,184.36,16.34,61.23,23.51,1.867
Sugarcane,255.24,19.77,66.17,27.4,45.947
Soybean,140.5,12.94,56.45,23.57,2.201
Sugarcane,158.38,18.3,63.39,25.5,49.775
Wheat,57.58,11.07,47.1,17.2,2.376
Rice,205.27,20.12,66.74,22.1,4.602
Sugarcane,249.14,18.73,66.48,30.5,49.731
Rice,171.71,20.96,84.55,28.5,2.245
Cotton,76.43,17.4,61.22,29.17,1.61
Wheat,95.03,10.41,44.61,10.35,2.817
Wheat,42.43,8.35,52.43,12.71,2.526
Sugarcane,168.25,16.04,75.52,32.69,59.495
Sugarcane,124.88,16.39,84.5,24.71,64.586
Wheat,75.03,10.15,52.43,19.08,2.588
Soybean,155.56,13.5,54.16,29.83,2.814
Wheat,89.46,9.66,42.82,13.8,2.788
Sugarcane,190.85,14.9,62.6,23.48,48.675
Barley,65.6,9.24,53.52,12.61,1.576
Cotton,167.35,16.8,47.76,22.27,1.232
Rice,265.06,20.97,72.37,20.17,4.336
Soybean,192.38,15.95,69.78,20.41,2.559
Sugarcane,247.44,17.28,61.02,25.78,58.6
Wheat,87.35,10.08,58.65,14.14,1.707
Wheat,99.39,8.54,42.57,14.55,3.038
Cotton,135.82,13.56,54.02,28.48,2.292
Barley,46.47,9.88,43.54,9.84,1.776
Barley,95.94,8.18,45.37,14.75,1.61
Wheat,55.86,9.68,41.32,18.09,2.465
Cotton,167.12,16.9,45.25,25.11,1.466
Maize,115.7,10.83,69.57,21.0,3.666
Soybean,176.22,13.8,59.04,19.3,2.953
Cotton,161.37,16.57,53.79,23.57,0.932
Soybean,89.77,13.61,57.32,24.55,1.756
Rice,186.58,16.07,71.03,31.71,3.791
Rice,190.92,16.73,69.94,30.64,3.986
Sugarcane,172.64,14.82,72.67,23.52,67.67
Rice,266.91,20.34,82.31,21.61,3.465
Cotton,101.05,16.93,38.32,32.16,1.191
Barley,81.44,10.5,47.64,17.4,1.992
Cotton,153.58,12.24,49.42,23.26,1.339
Maize,75.26,11.8,56.86,20.02,10.683697463451777
Rice,157.38,19.8,88.79,27.22,4.429
Sugarcane,206.17,15.2,67.18,23.94,54.937
Sugarcane,193.09,16.22,78.52,31.41,83.852
Barley,63.76,5.28,43.6,12.74,2.476
Rice,215.32,16.23,65.77,24.66,2.933
Sugarcane,176.75,17.22,60.56,27.33,80.979
Maize,151.86,10.04,65.27,29.38,2.499
Cotton,131.15,12.98,46.73,33.63,1.264
Wheat,102.7,7.78,40.75,15.76,1.952
Cotton,144.97,12.12,64.1,31.99,1.291
Cotton,90.56,16.09,57.81,29.15,1.489
Maize,90.41,14.0,47.0,23.3,3.385
Sugarcane,111.58,16.41,60.59,25.95,59.662
Soybean,99.16,15.74,65.41,18.54,2.368
Sugarcane,141.68,15.09,80.26,23.62,51.567
Barley,67.16,9.45,49.26,14.99,2.455
Sugarcane,123.35,16.72,72.67,30.25,59.528
Wheat,51.6,8.67,40.23,10.7,2.762
Barley,61.65,7.89,31.76,11.89,2.082
Barley,70.73,10.33,32.62,19.52,1.675
Maize,70.0,14.27,53.91,21.05,2.461
Sugarcane,257.73,14.11,78.31,33.2,58.499
Barley,61.01,5.9,42.59,19.22,2.101
Sugarcane,221.97,15.04,68.61,22.74,51.718
Rice,173.01,20.51,81.42,31.48,2.056
Wheat,102.29,11.95,42.35,12.94,2.879
Maize,140.42,15.96,51.02,28.49,4.539
Barley,64.31,5.6,47.69,8.44,2.972
Soybean,125.28,12.55,56.09,23.49,3.53
Wheat,48.43,11.63,39.53,18.72,2.088
Wheat,80.18,8.36,35.72,18.17,1.793
Barley,78.16,6.53,33.18,8.82,1.752
Barley,45.29,7.73,45.14,17.69,1.98
Sugarcane,270.83,18.66,67.14,32.13,50.621
Barley,89.55,5.19,53.5,20.49,2.312
Sugarcane,127.61,18.4,60.01,29.15,69.576
Sugarcane,193.94,17.98,69.53,30.63,59.138
Sugarcane,199.67,19.92,78.31,31.32,90.081
Maize,150.82,13.15,62.68,21.03,3.179
Wheat,60.26,8.81,50.48,15.76,2.684
Soybean,89.78,12.16,73.77,22.9,2.408
Wheat,101.67,11.3,51.48,12.96,2.947
Maize,149.49,12.49,54.68,25.92,3.942
Wheat,55.44,7.31,56.85,13.5,1.942
Barley,84.61,5.82,35.72,20.35,1.28
Barley,59.79,5.85,45.62,18.2,3.145
Barley,62.03,7.82,39.19,9.41,2.116
Wheat,66.28,10.82,45.84,23.96,2.359
Soybean,163.94,13.47,53.46,25.99,2.95
Wheat,103.07,11.98,55.64,21.83,1.725
Barley,56.9,8.42,51.53,9.1,1.449
Maize,131.12,13.79,51.76,20.99,6.325
Sugarcane,140.94,15.03,76.69,29.31,69.486
Wheat,69.59,8.08,44.94,13.7,1.958
Cotton,103.71,15.02,55.71,22.47,1.872
Soybean,105.12,11.24,68.53,27.93,3.172
Wheat,49.08,7.54,43.88,19.44,1.543
Barley,73.79,7.02,36.56,9.71,1.993
Maize,147.27,10.79,62.63,26.9,4.834
Maize,148.04,11.46,69.17,29.5,2.849
Soybean,197.9,16.47,60.98,18.48,1.629
Soybean,130.92,15.29,65.09,21.59,2.561
Cotton,136.37,16.24,35.95,33.23,1.089
Rice,230.84,19.26,70.69,31.57,5.159
Maize,113.43,11.3,69.18,26.58,6.443
Maize,82.04,15.72,46.82,20.39,3.703
Rice,279.97,19.44,88.9,22.41,2.627
Maize,79.61,15.72,46.51,21.57,3.237
Sugarcane,271.71,18.89,82.6,22.19,61.455
Barley,95.07,5.15,44.54,15.69,1.703
Soybean,132.33,11.94,73.69,27.2,2.499
Wheat,87.07,10.96,51.83,21.54,2.456
Wheat,105.28,6.71,58.34,19.57,2.433
Soybean,98.86,16.77,62.96,18.87,2.481
Maize,125.39,10.49,47.19,20.06,5.068
Maize,122.36,12.41,53.45,19.52,4.011
Cotton,134.19,14.21,48.88,30.97,1.119
Maize,153.71,13.17,51.47,18.63,4.016
Rice,162.29,21.73,78.06,23.59,2.668
Wheat,104.9,6.63,54.11,15.74,2.642
Soybean,169.45,13.27,57.57,23.51,2.976
Soybean,192.39,12.85,71.74,27.17,1.711
Soybean,86.8,11.72,64.52,29.15,1.997
Maize,91.37,11.8,61.07,25.21,5.191
Cotton,92.28,16.79,44.31,27.46,1.042
Cotton,120.26,15.57,37.01,31.0,1.354
Soybean,112.48,13.22,64.22,28.58,3.144
Cotton,162.14,13.9,40.08,28.68,2.237
Soybean,134.98,16.67,66.84,18.78,8.497181731484053
Rice,310.58,20.1,77.43,27.41,4.464
Rice,202.07,20.73,76.16,29.58,4.263
Rice,179.6,16.59,81.51,29.17,3.152
Rice,165.18,20.12,77.35,24.65,4.202
Rice,246.79,19.72,70.03,24.74,3.101
Wheat,89.44,9.74,59.75,14.37,2.371
Barley,70.42,6.7,53.71,19.79,2.546
Soybean,136.09,12.71,74.04,21.75,1.988
Wheat,78.93,10.68,35.41,21.46,1.812
Barley,93.18,10.83,51.48,9.54,2.476
Sugarcane,139.87,16.78,71.76,32.48,65.199
Wheat,98.53,10.93,56.08,16.79,2.324
Cotton,98.41,17.37,46.68,22.13,1.896
Cotton,151.29,15.37,58.13,27.93,1.74
Barley,58.63,6.3,46.74,21.59,1.465
Soybean,96.2,12.78,64.31,23.3,2.301
Wheat,46.48,10.49,57.86,16.08,2.29
Rice,248.97,18.23,80.03,28.47,4.716
Cotton,124.95,17.78,45.26,29.59,2.43
Maize,143.7,12.02,65.69,18.01,3.11
Cotton,169.48,13.26,53.69,29.58,1.839
Maize,136.75,14.83,66.13,22.74,3.277
Soybean,135.16,12.34,73.34,22.14,2.291
Maize,112.7,12.0,59.48,28.67,4.955
Rice,300.01,20.82,77.63,31.61,3.061
Maize,116.23,11.73,45.16,23.95,4.239
Rice,228.29,21.05,83.21,29.32,4.556
Soybean,80.88,14.11,50.94,24.83,2.961
Barley,94.97,8.41,39.09,18.59,1.653
Wheat,80.61,9.1,53.97,13.95,2.822
Sugarcane,268.54,14.11,70.94,22.26,40.438
Maize,93.62,12.53,46.0,23.39,4.934
Rice,280.02,17.05,77.56,24.78,2.952
Soybean,124.01,11.63,65.71,19.46,3.48
Cotton,117.59,15.6,43.75,30.34,2.248
Cotton,64.07,16.18,43.92,33.09,1.761
Maize,74.43,11.39,67.43,21.07,3.037
Rice,197.39,17.26,88.94,20.11,4.648
Maize,78.82,10.26,49.63,24.5,4.629
Barley,46.87,8.44,45.94,15.79,2.552
Wheat,79.44,10.82,38.43,18.13,2.998
Sugarcane,201.8,17.89,68.76,33.01,54.711
Soybean,143.61,11.17,56.17,23.52,3.451
Soybean,117.75,14.07,73.52,18.57,2.213
Sugarcane,122.38,15.29,61.61,28.89,71.488
Barley,53.97,6.04,39.48,20.75,2.348
Cotton,142.74,16.8,41.0,24.01,0.991
Cotton,99.05,16.48,54.49,32.19,1.679
Maize,82.71,14.58,47.72,29.78,3.289
Wheat,53.57,11.15,51.92,21.73,2.963
Sugarcane,229.13,19.66,73.19,28.48,68.242
Sugarcane,193.0,18.42,73.92,33.15,55.927
Sugarcane,172.69,15.29,68.9,25.41,52.307
Cotton,90.99,14.75,64.4,27.91,1.603
Sugarcane,249.08,15.02,82.44,29.87,75.227
Soybean,109.36,13.53,70.97,28.53,1.984
Wheat,54.74,10.85,38.67,14.8,2.898
Sugarcane,197.71,17.18,68.69,28.25,81.949
Maize,139.77,12.06,60.69,20.3,3.178
Rice,307.6,16.36,88.36,24.22,2.643
Cotton,136.51,17.32,49.17,23.44,1.742
Rice,286.45,18.75,77.07,21.6,2.507
Wheat,48.39,10.41,48.29,14.03,2.518
Rice,207.87,19.25,68.85,26.64,4.128
Barley,59.31,10.71,30.56,12.25,3.331
Cotton,164.96,15.17,63.17,31.59,2.199
Maize,111.12,12.85,54.65,29.6,4.787
Cotton,60.83,15.06,47.52,24.67,0.961
Wheat,63.12,9.39,56.26,12.82,3.717
Barley,74.86,10.21,46.55,14.08,2.838
Maize,153.65,11.23,64.95,26.86,2.852
Barley,38.71,10.36,43.25,17.37,2.386
Wheat,107.74,8.64,41.96,21.18,1.742
Sugarcane,223.65,15.76,74.0,25.61,48.31
Maize,120.93,15.45,54.91,21.56,3.591
Soybean,191.87,15.0,70.57,18.16,2.013
Cotton,129.86,14.08,53.63,22.55,2.066
Soybean,166.72,12.92,72.65,19.52,1.953
Maize,104.8,10.31,54.94,24.14,4.978
Sugarcane,196.26,15.19,72.71,23.89,68.95
Wheat,56.07,6.71,39.13,10.03,2.622
Soybean,185.76,12.97,52.82,28.44,2.308
Wheat,43.62,9.03,52.96,22.08,1.658
Maize,95.88,13.23,58.33,22.87,4.146
Maize,80.13,12.45,67.16,18.57,5.157
Rice,317.92,16.82,82.38,24.85,3.597
Cotton,98.78,15.11,56.09,26.36,2.366
Sugarcane,180.98,19.15,83.92,27.99,100.556
Wheat,98.51,7.99,52.34,20.8,2.637
Barley,78.14,8.99,37.16,14.44,1.933
Rice,239.6,18.56,68.27,30.64,3.768
Soybean,194.27,11.3,53.75,24.45,2.625
Barley,63.63,10.41,48.77,14.84,2.946
Rice,303.01,16.7,88.9,23.77,4.591
Maize,117.92,13.39,60.01,20.0,4.144
Sugarcane,256.88,16.91,67.64,28.21,60.91
Sugarcane,209.62,15.73,64.01,28.53,71.549
Rice,209.15,18.7,83.72,27.81,4.536
Maize,146.85,10.08,57.79,27.23,5.437
Sugarcane,193.08,18.58,71.18,31.48,63.256
Cotton,100.02,14.39,51.12,33.04,1.451
Maize,81.31,11.74,50.97,20.56,4.268
Barley,64.16,8.23,46.59,18.98,2.323
Sugarcane,194.17,19.39,64.11,31.65,75.159
Cotton,108.42,12.8,35.86,31.06,1.865
Sugarcane,501.1844560850269,16.97,81.16,28.06,75.373
Rice,299.53,21.22,70.97,25.41,5.21
Barley,53.37,7.27,32.57,18.07,2.103
Wheat,94.64,9.5,58.81,10.59,1.675
Cotton,149.27,12.2,52.1,31.15,1.943
Soybean,123.84,16.05,63.87,28.82,3.366
Soybean,113.02,16.46,65.85,18.86,2.694
Barley,56.81,9.59,40.82,14.78,2.562
Barley,53.41,5.0,33.17,21.07,2.692
Maize,142.9,11.43,50.61,24.05,3.175
Sugarcane,172.32,19.45,75.95,31.23,64.475
Barley,87.17,6.48,52.49,20.75,2.993
